;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGRNew;0.05;0.5;5.0;30162.0;9.0;0.2739245195979827;2477.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGRNew;0.1;0.5;5.0;30162.0;9.0;0.21340347468849327;2569.0;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Cup;Loss;5-anonymity;RGRNew;0.05;0.5;5.0;63441.0;8.0;0.1241035526615249;10790.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGRNew;0.1;0.5;5.0;63441.0;8.0;0.1233346195032465;12066.0;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Adult;Discernibility;5-anonymity;RGRNew;0.05;0.5;5.0;30162.0;9.0;0.004463606249102837;2067.0;4.0;1.3261720045089847E-4;2.125644832865163E-4;1.9789931274612004E-4
Adult;Discernibility;5-anonymity;RGRNew;0.1;0.5;5.0;30162.0;9.0;0.004330719377021313;3091.0;0.0;0.0;1.6089347608840785E-4;1.6089347608840785E-4
Cup;Discernibility;5-anonymity;RGRNew;0.05;0.5;5.0;63441.0;8.0;0.0029468041649167213;4718.0;0.0;0.0;1.9676717861405243E-4;1.9676717861405243E-4
Cup;Discernibility;5-anonymity;RGRNew;0.1;0.5;5.0;63441.0;8.0;0.0029468041649167213;8086.0;0.0;0.0;1.9676717861405243E-4;1.9676717861405243E-4
Adult;Loss;10-anonymity;RGRNew;0.05;0.5;10.0;30162.0;9.0;0.3279955017685254;1578.0;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGRNew;0.1;0.5;10.0;30162.0;9.0;0.2671190498438023;2134.0;11.0;3.6469730123997083E-4;0.0031066288168742507;0.0030575361310624513
Cup;Loss;10-anonymity;RGRNew;0.05;0.5;10.0;63441.0;8.0;0.1640595114527775;12138.0;4.0;6.305070853233713E-5;0.001463160760890588;0.0014512116745622966
Cup;Loss;10-anonymity;RGRNew;0.1;0.5;10.0;63441.0;8.0;0.13353601075666918;12889.0;2.0;3.1525354266168566E-5;0.002814256448612561;0.0028070852597200935
Adult;Discernibility;10-anonymity;RGRNew;0.05;0.5;10.0;30162.0;9.0;0.007452891368586833;1384.0;0.0;0.0;3.334580156661475E-4;3.334580156661475E-4
Adult;Discernibility;10-anonymity;RGRNew;0.1;0.5;10.0;30162.0;9.0;0.007452891368586833;2610.0;0.0;0.0;3.334580156661475E-4;3.334580156661475E-4
Cup;Discernibility;10-anonymity;RGRNew;0.05;0.5;10.0;63441.0;8.0;0.0029489464379659244;3341.0;0.0;0.0;6.280779469821948E-4;6.280779469821948E-4
Cup;Discernibility;10-anonymity;RGRNew;0.1;0.5;10.0;63441.0;8.0;0.002963322675338564;5087.0;1.0;1.5762677133084283E-5;7.825179956206944E-4;7.804049898476832E-4
Adult;Loss;25-anonymity;RGRNew;0.05;0.5;25.0;30162.0;9.0;0.425274928528981;1435.0;0.0;0.0;0.0020591542043692985;0.0020591542043692985
Adult;Loss;25-anonymity;RGRNew;0.1;0.5;25.0;30162.0;9.0;0.34366627698962005;1775.0;0.0;0.0;0.003107797057307993;0.003107797057307993
Cup;Loss;25-anonymity;RGRNew;0.05;0.5;25.0;63441.0;8.0;0.20630625150559403;11485.0;4.0;6.305070853233713E-5;0.003143746883270927;0.003129904023066871
Cup;Loss;25-anonymity;RGRNew;0.1;0.5;25.0;63441.0;8.0;0.1715167800210165;12462.0;23.0;3.625415740609385E-4;0.002346623704724484;0.002278613656863882
Adult;Discernibility;25-anonymity;RGRNew;0.05;0.5;25.0;30162.0;9.0;0.012749591603016653;940.0;12.0;3.9785160135269546E-4;6.728352523006809E-4;6.342214121333812E-4
Adult;Discernibility;25-anonymity;RGRNew;0.1;0.5;25.0;30162.0;9.0;0.012749591603016653;1599.0;12.0;3.9785160135269546E-4;6.728352523006809E-4;6.342214121333812E-4
Cup;Discernibility;25-anonymity;RGRNew;0.05;0.5;25.0;63441.0;8.0;0.007535101822223121;1715.0;4.0;6.305070853233713E-5;3.895335704959654E-4;3.8553296192348597E-4
Cup;Discernibility;25-anonymity;RGRNew;0.1;0.5;25.0;63441.0;8.0;0.007535101822223121;2663.0;4.0;6.305070853233713E-5;3.895335704959654E-4;3.8553296192348597E-4
Adult;Loss;50-anonymity;RGRNew;0.05;0.5;50.0;30162.0;9.0;0.49533445441259755;910.0;0.0;0.0;0.0026615545715765153;0.0026615545715765153
Adult;Loss;50-anonymity;RGRNew;0.1;0.5;50.0;30162.0;9.0;0.4133312323086077;1375.0;0.0;0.0;0.005511091432288123;0.005511091432288123
Cup;Loss;50-anonymity;RGRNew;0.05;0.5;50.0;63441.0;8.0;0.24645669624058558;9211.0;4.0;6.305070853233713E-5;0.0014261117533526833;0.0014144564561185773
Cup;Loss;50-anonymity;RGRNew;0.1;0.5;50.0;63441.0;8.0;0.219393000251435;10924.0;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Adult;Discernibility;50-anonymity;RGRNew;0.05;0.5;50.0;30162.0;9.0;0.022337966804824614;577.0;16.0;5.304688018035939E-4;9.682369009605195E-4;9.318091919303885E-4
Adult;Discernibility;50-anonymity;RGRNew;0.1;0.5;50.0;30162.0;9.0;0.022337966804824614;1181.0;16.0;5.304688018035939E-4;9.682369009605195E-4;9.318091919303885E-4
Cup;Discernibility;50-anonymity;RGRNew;0.05;0.5;50.0;63441.0;8.0;0.009621431778626498;1197.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
Cup;Discernibility;50-anonymity;RGRNew;0.1;0.5;50.0;63441.0;8.0;0.009621431778626498;1886.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
